CDS_CODE	COUNTY	DISTRICT	SCHOOL	HISPANIC	AM_IND	ASIAN	PAC_ISLD	FILIPINO	AFRICAN_AM	WHITE	TWO_MORE_RACES	NOT_REPORTED	TOTAL	YEAR
15638591530351	Kern	Wasco Union High	Wasco Independence High	0	0	0	0	0	0	0	0	0	0	1415
15638591536440	Kern	Wasco Union High	Wasco High	66	0	1	0	0	4	8	0	0	79	1415
15737421530054	Kern	Sierra Sands Unified	Mesquite Continuation High	0	0	0	0	0	0	0	0	0	0	1415
15737421531367	Kern	Sierra Sands Unified	Burroughs High	17	1	10	1	4	2	47	1	0	83	1415
15739081530146	Kern	McFarland Unified	San Joaquin High (Continuation)	0	0	0	0	0	0	0	0	0	0	1415
15739081530229	Kern	McFarland Unified	McFarland Independent	0	0	0	0	0	0	0	0	0	0	1415
15739081534155	Kern	McFarland Unified	McFarland High	79	0	0	0	2	0	1	0	0	82	1415
15751681530401	Kern	El Tejon Unified	Frazier Mountain High	7	0	1	0	0	0	6	1	1	16	1415
16101651630102	Kings	Kings County Office of Education	J. C. Montgomery	0	0	0	0	0	0	0	0	0	0	1415
16101651630193	Kings	Kings County Office of Education	Kings County Community	0	0	0	0	0	0	0	0	0	0	1415
16101656069298	Kings	Kings County Office of Education	Kings County Special Education	0	0	0	0	0	0	0	0	0	0	1415
16638750101717	Kings	Armona Union Elementary	Crossroads Charter	0	0	0	0	0	0	0	0	0	0	1415
16638750112698	Kings	Armona Union Elementary	California Virtual Academy @ Kings	0	0	0	0	0	0	0	0	0	0	1415
16638750121491	Kings	Armona Union Elementary	National University Academy, Armona	0	0	0	0	0	0	0	0	0	0	1415
